	num_votes	rating	tconst	title	year	genre	runtime
0	1659650	9.3	tt0111161	The Shawshank Redemption	1994	[Crime, Drama]	8520
1	1135992	9.2	tt0068646	The Godfather	1972	[Crime, Drama]	10500
2	775849	9.0	tt0071562	The Godfather: Part II	1974	[Crime, Drama]	12120
3	1645344	9.0	tt0468569	The Dark Knight	2008	[Action, Crime, Thriller]	9120
4	849066	8.9	tt0108052	Schindler's List	1993	[Biography, Drama, History]	11700
5	437763	8.9	tt0050083	12 Angry Men	1957	[Crime, Drama]	5760
6	1300701	8.9	tt0110912	Pulp Fiction	1994	[Crime, Drama]	9240
7	1194329	8.9	tt0167260	The Lord of the Rings: The Return of the King	2003	[Adventure, Drama, Fantasy]	12060
8	494757	8.9	tt0060196	The Good, the Bad and the Ugly	1966	[Western]	9660
9	1321370	8.9	tt0137523	Fight Club	1999	[Drama]	8340
10	1217791	8.8	tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	[Adventure, Drama, Fantasy]	10680
11	821075	8.8	tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	[Action, Adventure, Fantasy, Sci-Fi]	7440
12	1224588	8.8	tt0109830	Forrest Gump	1994	[Drama, Romance]	8520
13	1438914	8.8	tt1375666	Inception	2010	[Action, Mystery, Sci-Fi, Thriller]	8880
14	1080496	8.7	tt0167261	The Lord of the Rings: The Two Towers	2002	[Action, Adventure, Drama, Fantasy]	10740
15	668490	8.7	tt0073486	One Flew Over the Cuckoo's Nest	1975	[Drama]	7980
16	715454	8.7	tt0099685	Goodfellas	1990	[Biography, Crime, Drama]	8760
17	1195945	8.7	tt0133093	The Matrix	1999	[Action, Sci-Fi]	8160
18	225349	8.7	tt0047478	Seven Samurai	1954	[Action, Adventure, Drama]	9480
19	894688	8.7	tt0076759	Star Wars	1977	[Action, Adventure, Fantasy, Sci-Fi]	7260
20	524531	8.7	tt0317248	City of God	2002	[Crime, Drama]	7800
21	1003873	8.6	tt0114369	Se7en	1995	[Crime, Drama, Mystery, Thriller]	7620
22	869112	8.6	tt0102926	The Silence of the Lambs	1991	[Crime, Drama, Thriller]	7080
23	271004	8.6	tt0038650	It's a Wonderful Life	1946	[Drama, Family, Fantasy, Romance]	7800
24	727765	8.6	tt0114814	The Usual Suspects	1995	[Crime, Drama, Mystery, Thriller]	6360
25	410794	8.6	tt0118799	Life Is Beautiful	1997	[Comedy, Drama, Romance, War]	6960
26	711735	8.6	tt0110413	Léon: The Professional	1994	[Crime, Drama, Thriller]	6600
27	212192	8.6	tt0064116	Once Upon a Time in the West	1968	[Western]	8700
28	407925	8.6	tt0245429	Spirited Away	2001	[Animation, Adventure, Family, Fantasy]	7500
29	864288	8.6	tt0120815	Saving Private Ryan	1998	[Action, Drama, War]	10140
30	769579	8.6	tt0120586	American History X	1998	[Crime, Drama]	6060
31	898494	8.6	tt0816692	Interstellar	2014	[Adventure, Drama, Sci-Fi]	10140
32	381588	8.6	tt0034583	Casablanca	1942	[Drama, Romance, War]	6120
33	414203	8.5	tt0054215	Psycho	1960	[Horror, Mystery, Thriller]	6540
34	105727	8.6	tt0021749	City Lights	1931	[Comedy, Drama, Romance]	5220
35	649819	8.5	tt0082971	Raiders of the Lost Ark	1981	[Action, Adventure]	6900
36	490435	8.6	tt1675434	The Intouchables	2011	[Biography, Comedy, Drama]	6720
37	310415	8.5	tt0047396	Rear Window	1954	[Mystery, Thriller]	6720
38	139681	8.6	tt0027977	Modern Times	1936	[Comedy, Drama]	5220
39	766062	8.5	tt0120689	The Green Mile	1999	[Crime, Drama, Fantasy, Mystery]	11340
40	732119	8.5	tt0103064	Terminator 2: Judgment Day	1991	[Action, Sci-Fi]	9180
41	488024	8.5	tt0253474	The Pianist	2002	[Biography, Drama, War]	9000
42	857221	8.5	tt0407887	The Departed	2006	[Crime, Drama, Thriller]	9060
43	716684	8.5	tt0088763	Back to the Future	1985	[Adventure, Comedy, Sci-Fi]	6960
44	381669	8.5	tt2582802	Whiplash	2014	[Drama, Music]	6420
45	965101	8.5	tt0172495	Gladiator	2000	[Action, Drama]	9300
